Date,Value
2019-02-28,1465.0
2019-01-31,1458.0
2018-12-31,1445.0
2018-11-30,1428.0
2018-10-31,1416.0
2018-09-30,1413.0
2018-08-31,1415.0
2018-07-31,1415.0
2018-06-30,1417.0
2018-05-31,1419.0
2018-04-30,1423.0
2018-03-31,1426.0
2018-02-28,1430.0
2018-01-31,1437.0
2017-12-31,1442.0
2017-11-30,1444.0
2017-10-31,1443.0
2017-09-30,1444.0
2017-08-31,1444.0
2017-07-31,1444.0
2017-06-30,1443.0
2017-05-31,1447.0
2017-04-30,1457.0
2017-03-31,1472.0
2017-02-28,1486.0
2017-01-31,1499.0
2016-12-31,1506.0
2016-11-30,1515.0
2016-10-31,1524.0
2016-09-30,1538.0
2016-08-31,1551.0
2016-07-31,1560.0
2016-06-30,1567.0
2016-05-31,1569.0
2016-04-30,1571.0
2016-03-31,1568.0
2016-02-29,1565.0
2016-01-31,1562.0
2015-12-31,1563.0
2015-11-30,1571.0
2015-10-31,1583.0
2015-09-30,1595.0
2015-08-31,1585.0
2015-07-31,1571.0
2015-06-30,1547.0
2015-05-31,1543.0
2015-04-30,1536.0
2015-03-31,1548.0
2015-02-28,1564.0
2015-01-31,1575.0
2014-12-31,1580.0
2014-11-30,1573.0
2014-10-31,1575.0
2014-09-30,1570.0
2014-08-31,1548.0
2014-07-31,1525.0
2014-06-30,1494.0
2014-05-31,1490.0
2014-04-30,1499.0
2014-03-31,1524.0
2014-02-28,1530.0
2014-01-31,1514.0
2013-12-31,1518.0
2013-11-30,1538.0
2013-10-31,1544.0
2013-09-30,1504.0
2013-08-31,1483.0
2013-07-31,1469.0
2013-06-30,1474.0
2013-05-31,1441.0
2013-04-30,1419.0
2013-03-31,1384.0
2013-02-28,1338.0
2013-01-31,1280.0
2012-12-31,1250.0
2012-11-30,1272.0
2012-10-31,1305.0
2012-09-30,1325.0
2012-08-31,1323.0
2012-07-31,1329.0
2012-06-30,1336.0
2012-05-31,1341.0
2012-04-30,1333.0
2012-03-31,1328.0
2012-02-29,1322.0
2012-01-31,1321.0
2011-12-31,1334.0
2011-11-30,1355.0
2011-10-31,1382.0
2011-09-30,1394.0
2011-08-31,1389.0
2011-07-31,1390.0
2011-06-30,1407.0
2011-05-31,1430.0
2011-04-30,1438.0
2011-03-31,1421.0
2011-02-28,1386.0
2011-01-31,1347.0
2010-12-31,1308.0
2010-11-30,1296.0
